framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
reflex                 , diamond                                                      , 387.73   , 412.89   , 427.57   , 0.033    , baseline       , diamond                  ,                                                                                                 
reflex                 , mux                                                          , 351.36   , 389.30   , 403.26   , 0.052    , dynamic        , dynamic branch           ,                                                                                                 
reflex                 , repeatedObservers                                            , 99.91    , 107.91   , 111.96   , 0.043    , baseline       , duplicate observer       ,                                                                                                 
reflex                 , triangle                                                     , 133.21   , 153.97   , 163.26   , 0.071    , baseline       , glitch-free triangle     ,                                                                                                 
reflex                 , unstable                                                     , 104.08   , 120.47   , 123.13   , 0.063    , dynamic        , dynamic dependency churn ,                                                                                                 
reflex                 , manyEffectsFromOneSource                                     , 252.71   , 276.24   , 290.15   , 0.048    , push           , wide fan-out             , checksum=180075672000                                                                           
reflex                 , manySourcesIntoOneComputedEffectWithDirect                   , 154.30   , 167.26   , 169.22   , 0.034    , pull           , wide fan-in              , checksum=1372929289844                                                                          
reflex                 , manySourcesIntoOneComputedEffect                             , 151.96   , 159.50   , 162.22   , 0.026    , pull           , wide fan-in              , checksum=1331323690944                                                                          
reflex                 , manySourcesIntoOneDirectEffect                               , 67.33    , 78.83    , 82.56    , 0.072    , pull           , wide fan-in              , checksum=41605598900                                                                            
reflex                 , molBench                                                     , 390.07   , 393.31   , 393.63   , 0.008    , dynamic        , mixed app graph          ,                                                                                                 
reflex                 , createDataSignals                                            , 6.19     , 9.13     , 9.30     , 0.265    , creation       , signal creation          ,                                                                                                 
reflex                 , createComputations0to1                                       , 6.73     , 6.82     , 6.83     , 0.041    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations1to1                                       , 0.67     , 0.70     , 0.70     , 0.084    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations2to1                                       , 0.48     , 2.11     , 2.65     , 1.044    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations4to1                                       , 0.45     , 3.13     , 3.63     , 1.103    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations1000to1                                    , 0.07     , 0.08     , 0.08     , 0.633    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations1to2                                       , 2.37     , 3.44     , 3.71     , 0.195    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations1to4                                       , 2.17     , 3.17     , 3.49     , 0.213    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations1to8                                       , 3.20     , 4.08     , 4.35     , 0.254    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations1to1000                                    , 0.07     , 3.54     , 3.68     , 1.111    , creation       , computed creation        ,                                                                                                 
reflex                 , updateComputations1to1                                       , 6.16     , 6.18     , 6.18     , 0.096    , update         , stable update            ,                                                                                                 
reflex                 , updateComputations2to1                                       , 3.95     , 4.18     , 4.20     , 0.115    , update         , stable update            ,                                                                                                 
reflex                 , updateComputations4to1                                       , 2.11     , 2.15     , 2.16     , 0.177    , update         , stable update            ,                                                                                                 
reflex                 , updateComputations1000to1                                    , 0.05     , 0.21     , 0.26     , 1.045    , update         , stable update            ,                                                                                                 
reflex                 , updateComputations1to2                                       , 3.91     , 4.15     , 4.23     , 0.179    , update         , stable update            ,                                                                                                 
reflex                 , updateComputations1to4                                       , 2.13     , 2.34     , 2.41     , 0.136    , update         , stable update            ,                                                                                                 
reflex                 , updateComputations1to1000                                    , 0.02     , 0.18     , 0.19     , 0.959    , update         , stable update            ,                                                                                                 
reflex                 , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 347.15   , 353.01   , 353.55   , 0.009    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
reflex                 , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 506.00   , 508.81   , 509.21   , 0.005    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
reflex                 , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 293.60   , 297.45   , 298.31   , 0.008    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
reflex                 , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 511.81   , 514.77   , 514.86   , 0.004    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 69.13    , 75.27    , 76.36    , 0.046    , large_graph    , layered DAG              , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 60.06    , 67.93    , 68.00    , 0.077    , large_graph    , layered DAG              , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 789.88   , 1178.19  , 1299.85  , 0.226    , large_graph    , layered DAG              , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
reflex                 , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 6.29     , 6.45     , 6.49     , 0.040    , large_graph    , diamond mesh             , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
reflex                 , 32x8 - 4 sources - pull (pure pull)                          , 43.58    , 72.24    , 80.74    , 0.285    , pull           , stable rectangular DAG   , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
reflex                 , 8x64 - 1 sources - pull (linear chain - 1 source - pull (lin , 39.39    , 68.34    , 77.09    , 0.305    , pull           , stable rectangular DAG   , nodesRecomputed=504 nodesVisited=504 edgesTraversed=504 sinkReads=8                             
reflex                 , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branc , 40.39    , 43.72    , 44.43    , 0.056    , pull           , stable rectangular DAG   , nodesRecomputed=192 nodesVisited=192 edgesTraversed=1536 sinkReads=64                           
reflex                 , 32x8 - 4 sources - push (pure push)                          , 154.44   , 157.74   , 158.12   , 0.011    , pull           , stable rectangular DAG   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 274.75   , 278.61   , 278.73   , 0.009    , pull           , stable rectangular DAG   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 225.50   , 227.80   , 228.30   , 0.006    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 347.28   , 349.59   , 349.97   , 0.010    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
reflex                 , 1000x5 - 25 sources (wide dense)                             , 539.80   , 622.97   , 625.33   , 0.073    , pull           , stable rectangular DAG   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
reflex                 , 5x500 - 3 sources (deep)                                     , 205.00   , 209.31   , 209.58   , 0.019    , pull           , stable rectangular DAG   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
alien-signals          , avoidablePropagation                                         , 413.83   , 438.45   , 446.36   , 0.028    , baseline       , selective propagation    ,                                                                                                 
alien-signals          , broadPropagation                                             , 338.88   , 370.65   , 386.25   , 0.053    , baseline       , wide fan-out             ,                                                                                                 
alien-signals          , deepPropagation                                              , 139.02   , 155.47   , 165.89   , 0.064    , pull           , linear chain             ,                                                                                                 
alien-signals          , diamond                                                      , 379.74   , 383.80   , 385.43   , 0.007    , baseline       , diamond                  ,                                                                                                 
alien-signals          , mux                                                          , 312.85   , 346.70   , 362.62   , 0.053    , dynamic        , dynamic branch           ,                                                                                                 
alien-signals          , repeatedObservers                                            , 103.14   , 109.20   , 111.13   , 0.027    , baseline       , duplicate observer       ,                                                                                                 
