framework              , test                                                         , time    
@amadeus-it-group/tans , updateComputations1to2                                       , 58.00   
@amadeus-it-group/tans , updateComputations1to4                                       , 63.89   
@amadeus-it-group/tans , updateComputations1to1000                                    , 65.08   
@amadeus-it-group/tans , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 689.35  
@amadeus-it-group/tans , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 1069.37 
@amadeus-it-group/tans , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 553.82  
@amadeus-it-group/tans , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1025.39 
@amadeus-it-group/tans , 10x5 - 2 sources - read 20% (simple component)               , 550.54  
@amadeus-it-group/tans , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 381.68  
@amadeus-it-group/tans , 1000x12 - 4 sources - dynamic (large web app)                , 773.59  
@amadeus-it-group/tans , 1000x5 - 25 sources (wide dense)                             , 922.36  
@amadeus-it-group/tans , 5x500 - 3 sources (deep)                                     , 417.10  
$mol_wire              , avoidablePropagation                                         , 738.05  
$mol_wire              , broadPropagation                                             , 1386.55 
$mol_wire              , deepPropagation                                              , 404.89  
$mol_wire              , diamond                                                      , 749.77  
$mol_wire              , mux                                                          , 761.38  
$mol_wire              , repeatedObservers                                            , 157.28  
$mol_wire              , triangle                                                     , 248.92  
$mol_wire              , unstable                                                     , 345.79  
$mol_wire              , molBench                                                     , 454.31  
$mol_wire              , createDataSignals                                            , 55.93   
$mol_wire              , createComputations0to1                                       , 64.55   
$mol_wire              , createComputations1to1                                       , 74.99   
$mol_wire              , createComputations2to1                                       , 66.82   
$mol_wire              , createComputations4to1                                       , 58.95   
$mol_wire              , createComputations1000to1                                    , 63.42   
$mol_wire              , createComputations1to2                                       , 68.68   
$mol_wire              , createComputations1to4                                       , 83.00   
$mol_wire              , createComputations1to8                                       , 68.31   
$mol_wire              , createComputations1to1000                                    , 65.91   
$mol_wire              , updateComputations1to1                                       , 59.08   
$mol_wire              , updateComputations2to1                                       , 50.66   
$mol_wire              , updateComputations4to1                                       , 65.55   
$mol_wire              , updateComputations1000to1                                    , 49.44   
$mol_wire              , updateComputations1to2                                       , 51.29   
$mol_wire              , updateComputations1to4                                       , 53.04   
$mol_wire              , updateComputations1to1000                                    , 63.59   
$mol_wire              , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 844.24  
$mol_wire              , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 1274.97 
$mol_wire              , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 639.50  
$mol_wire              , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1194.69 
$mol_wire              , 10x5 - 2 sources - read 20% (simple component)               , 774.56  
$mol_wire              , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 464.36  
$mol_wire              , 1000x12 - 4 sources - dynamic (large web app)                , 758.50  
$mol_wire              , 1000x5 - 25 sources (wide dense)                             , 914.29  
$mol_wire              , 5x500 - 3 sources (deep)                                     , 458.54  
Oby                    , avoidablePropagation                                         , 558.78  
Oby                    , broadPropagation                                             , 670.78  
Oby                    , deepPropagation                                              , 277.01  
Oby                    , diamond                                                      , 526.21  
Oby                    , mux                                                          , 429.13  
Oby                    , repeatedObservers                                            , 84.23   
Oby                    , triangle                                                     , 175.02  
Oby                    , unstable                                                     , 96.57   
Oby                    , molBench                                                     , 696.36  
Oby                    , createDataSignals                                            , 55.53   
Oby                    , createComputations0to1                                       , 137.03  
Oby                    , createComputations1to1                                       , 111.80  
Oby                    , createComputations2to1                                       , 87.52   
Oby                    , createComputations4to1                                       , 113.05  
Oby                    , createComputations1000to1                                    , 146.29  
Oby                    , createComputations1to2                                       , 96.48   
Oby                    , createComputations1to4                                       , 153.98  
Oby                    , createComputations1to8                                       , 136.66  
Oby                    , createComputations1to1000                                    , 126.28  
Oby                    , updateComputations1to1                                       , 70.27   
Oby                    , updateComputations2to1                                       , 54.25   
Oby                    , updateComputations4to1                                       , 47.78   
Oby                    , updateComputations1000to1                                    , 50.81   
Oby                    , updateComputations1to2                                       , 49.43   
Oby                    , updateComputations1to4                                       , 57.22   
Oby                    , updateComputations1to1000                                    , 61.56   
Oby                    , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 635.34  
Oby                    , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 955.39  
Oby                    , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 513.87  
Oby                    , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 933.67  
Oby                    , 10x5 - 2 sources - read 20% (simple component)               , 501.55  
Oby                    , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 400.86  
Oby                    , 1000x12 - 4 sources - dynamic (large web app)                , 619.60  
Oby                    , 1000x5 - 25 sources (wide dense)                             , 834.30  
Oby                    , 5x500 - 3 sources (deep)                                     , 338.95  
Signia                 , avoidablePropagation                                         , 658.92  
Signia                 , broadPropagation                                             , 610.76  
Signia                 , deepPropagation                                              , 234.83  
Signia                 , diamond                                                      , 554.88  
Signia                 , mux                                                          , 536.78  
Signia                 , repeatedObservers                                            , 103.81  
Signia                 , triangle                                                     , 178.09  
Signia                 , unstable                                                     , 126.00  
Signia                 , molBench                                                     , 593.81  
Signia                 , createDataSignals                                            , 56.08   
Signia                 , createComputations0to1                                       , 66.65   
Signia                 , createComputations1to1                                       , 63.44   
Signia                 , createComputations2to1                                       , 73.74   
Signia                 , createComputations4to1                                       , 68.99   
Signia                 , createComputations1000to1                                    , 69.39   
Signia                 , createComputations1to2                                       , 61.12   
Signia                 , createComputations1to4                                       , 64.20   
Signia                 , createComputations1to8                                       , 65.28   
Signia                 , createComputations1to1000                                    , 53.38   
Signia                 , updateComputations1to1                                       , 75.72   
Signia                 , updateComputations2to1                                       , 75.69   
Signia                 , updateComputations4to1                                       , 64.94   
Signia                 , updateComputations1000to1                                    , 45.75   
Signia                 , updateComputations1to2                                       , 63.84   
Signia                 , updateComputations1to4                                       , 61.78   
Signia                 , updateComputations1to1000                                    , 46.47   
Signia                 , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 1026.15 
Signia                 , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 1090.47 
Signia                 , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 1061.71 
Signia                 , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1110.96 
Signia                 , 10x5 - 2 sources - read 20% (simple component)               , 516.64  
Signia                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 315.53  
Signia                 , 1000x12 - 4 sources - dynamic (large web app)                , 4225.76 
Signia                 , 1000x5 - 25 sources (wide dense)                             , 2577.17 
Signia                 , 5x500 - 3 sources (deep)                                     , 266.77  
@solidjs/signals       , avoidablePropagation                                         , 839.70  
@solidjs/signals       , broadPropagation                                             , 1719.99 
@solidjs/signals       , deepPropagation                                              , 581.69  
@solidjs/signals       , diamond                                                      , 1286.57 
@solidjs/signals       , mux                                                          , 553.29  
@solidjs/signals       , repeatedObservers                                            , 217.51  
@solidjs/signals       , triangle                                                     , 401.26  
@solidjs/signals       , unstable                                                     , 299.66  
@solidjs/signals       , molBench                                                     , 736.81  
@solidjs/signals       , createDataSignals                                            , 76.02   
@solidjs/signals       , createComputations0to1                                       , 104.54  
@solidjs/signals       , createComputations1to1                                       , 166.64  
@solidjs/signals       , createComputations2to1                                       , 141.23  
@solidjs/signals       , createComputations4to1                                       , 124.70  
@solidjs/signals       , createComputations1000to1                                    , 178.89  
@solidjs/signals       , createComputations1to2                                       , 142.27  
@solidjs/signals       , createComputations1to4                                       , 125.37  
@solidjs/signals       , createComputations1to8                                       , 126.63  
@solidjs/signals       , createComputations1to1000                                    , 131.83  
@solidjs/signals       , updateComputations1to1                                       , 56.63   
@solidjs/signals       , updateComputations2to1                                       , 61.47   
@solidjs/signals       , updateComputations4to1                                       , 66.20   
@solidjs/signals       , updateComputations1000to1                                    , 50.17   
@solidjs/signals       , updateComputations1to2                                       , 60.42   
@solidjs/signals       , updateComputations1to4                                       , 59.44   
@solidjs/signals       , updateComputations1to1000                                    , 50.05   
@solidjs/signals       , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 2260.02 
@solidjs/signals       , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 2019.85 
@solidjs/signals       , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 1292.19 
@solidjs/signals       , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1815.80 
@solidjs/signals       , 10x5 - 2 sources - read 20% (simple component)               , 2570.62 
@solidjs/signals       , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 707.49  
@solidjs/signals       , 1000x12 - 4 sources - dynamic (large web app)                , 912.59  
@solidjs/signals       , 1000x5 - 25 sources (wide dense)                             , 1169.03 
@solidjs/signals       , 5x500 - 3 sources (deep)                                     , 525.07  
SolidJS                , avoidablePropagation                                         , 746.74  
SolidJS                , broadPropagation                                             , 887.45  
SolidJS                , deepPropagation                                              , 326.66  
SolidJS                , diamond                                                      , 744.67  
SolidJS                , mux                                                          , 523.30  
SolidJS                , repeatedObservers                                            , 183.92  
SolidJS                , triangle                                                     , 253.01  
SolidJS                , unstable                                                     , 231.09  
SolidJS                , molBench                                                     , 702.09  
SolidJS                , createDataSignals                                            , 86.14   
SolidJS                , createComputations0to1                                       , 62.74   
SolidJS                , createComputations1to1                                       , 119.41  
SolidJS                , createComputations2to1                                       , 124.14  
SolidJS                , createComputations4to1                                       , 70.32   
SolidJS                , createComputations1000to1                                    , 62.43   
SolidJS                , createComputations1to2                                       , 93.24   
SolidJS                , createComputations1to4                                       , 69.39   
SolidJS                , createComputations1to8                                       , 77.85   
SolidJS                , createComputations1to1000                                    , 74.45   
SolidJS                , updateComputations1to1                                       , 135.75  
SolidJS                , updateComputations2to1                                       , 89.63   
SolidJS                , updateComputations4to1                                       , 82.28   
SolidJS                , updateComputations1000to1                                    , 105.91  
SolidJS                , updateComputations1to2                                       , 117.72  
SolidJS                , updateComputations1to4                                       , 111.25  
SolidJS                , updateComputations1to1000                                    , 98.96   
SolidJS                , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 2422.78 
SolidJS                , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 2015.02 
SolidJS                , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 1281.91 
SolidJS                , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1919.85 
SolidJS                , 10x5 - 2 sources - read 20% (simple component)               , 2056.17 
SolidJS                , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 728.70  
SolidJS                , 1000x12 - 4 sources - dynamic (large web app)                , 1103.52 
SolidJS                , 1000x5 - 25 sources (wide dense)                             , 1441.90 
SolidJS                , 5x500 - 3 sources (deep)                                     , 538.81  
uSignal                , avoidablePropagation                                         , 1053.98 
uSignal                , broadPropagation                                             , 951.69  
uSignal                , deepPropagation                                              , 321.82  
uSignal                , diamond                                                      , 709.63  
uSignal                , mux                                                          , 836.98  
uSignal                , repeatedObservers                                            , 96.76   
uSignal                , triangle                                                     , 218.10  
uSignal                , unstable                                                     , 104.46  
uSignal                , molBench                                                     , 802.84  
uSignal                , createDataSignals                                            , 79.73   
uSignal                , createComputations0to1                                       , 71.17   
uSignal                , createComputations1to1                                       , 86.96   
uSignal                , createComputations2to1                                       , 77.32   
uSignal                , createComputations4to1                                       , 166.68  
uSignal                , createComputations1000to1                                    , 54.07   
uSignal                , createComputations1to2                                       , 76.59   
uSignal                , createComputations1to4                                       , 79.63   
uSignal                , createComputations1to8                                       , 78.06   
uSignal                , createComputations1to1000                                    , 69.03   
uSignal                , updateComputations1to1                                       , 56.20   
uSignal                , updateComputations2to1                                       , 47.99   
uSignal                , updateComputations4to1                                       , 46.87   
uSignal                , updateComputations1000to1                                    , 46.18   
uSignal                , updateComputations1to2                                       , 59.00   
uSignal                , updateComputations1to4                                       , 56.29   
uSignal                , updateComputations1to1000                                    , 58.33   
uSignal                , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 844.01  
uSignal                , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 1260.57 
uSignal                , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 838.92  
uSignal                , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1284.27 
uSignal                , 10x5 - 2 sources - read 20% (simple component)               , 623.81  
uSignal                , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 566.52  
uSignal                , 1000x12 - 4 sources - dynamic (large web app)                , 762.12  
uSignal                , 1000x5 - 25 sources (wide dense)                             , 1452.72 
uSignal                , 5x500 - 3 sources (deep)                                     , 458.71  
@vue/reactivity        , avoidablePropagation                                         , 632.52  
@vue/reactivity        , broadPropagation                                             , 521.11  
@vue/reactivity        , deepPropagation                                              , 202.54  
@vue/reactivity        , diamond                                                      , 518.45  
@vue/reactivity        , mux                                                          , 517.68  
@vue/reactivity        , repeatedObservers                                            , 64.13   
@vue/reactivity        , triangle                                                     , 152.92  
@vue/reactivity        , unstable                                                     , 102.75  
@vue/reactivity        , molBench                                                     , 1245.26 
@vue/reactivity        , createDataSignals                                            , 57.84   
@vue/reactivity        , createComputations0to1                                       , 78.80   
@vue/reactivity        , createComputations1to1                                       , 60.00   
@vue/reactivity        , createComputations2to1                                       , 70.48   
@vue/reactivity        , createComputations4to1                                       , 67.86   
@vue/reactivity        , createComputations1000to1                                    , 59.44   
@vue/reactivity        , createComputations1to2                                       , 62.22   
@vue/reactivity        , createComputations1to4                                       , 57.42   
@vue/reactivity        , createComputations1to8                                       , 67.07   
@vue/reactivity        , createComputations1to1000                                    , 62.59   
@vue/reactivity        , updateComputations1to1                                       , 55.29   
@vue/reactivity        , updateComputations2to1                                       , 60.72   
@vue/reactivity        , updateComputations4to1                                       , 53.18   
@vue/reactivity        , updateComputations1000to1                                    , 55.29   
@vue/reactivity        , updateComputations1to2                                       , 55.00   
@vue/reactivity        , updateComputations1to4                                       , 61.41   
@vue/reactivity        , updateComputations1to1000                                    , 45.58   
@vue/reactivity        , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 1277.22 
@vue/reactivity        , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 1186.63 
@vue/reactivity        , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 1792.20 
@vue/reactivity        , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1373.10 
@vue/reactivity        , 10x5 - 2 sources - read 20% (simple component)               , 561.93  
@vue/reactivity        , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 392.72  
@vue/reactivity        , 1000x12 - 4 sources - dynamic (large web app)                , 3592.00 
@vue/reactivity        , 1000x5 - 25 sources (wide dense)                             , 5362.48 
@vue/reactivity        , 5x500 - 3 sources (deep)                                     , 311.90  
MobX                   , avoidablePropagation                                         , 1199.15 
MobX                   , broadPropagation                                             , 2478.36 
MobX                   , deepPropagation                                              , 846.76  
MobX                   , diamond                                                      , 1432.98 
MobX                   , mux                                                          , 940.99  
MobX                   , repeatedObservers                                            , 136.49  
MobX                   , triangle                                                     , 466.93  
MobX                   , unstable                                                     , 269.72  
MobX                   , molBench                                                     , 633.85  
MobX                   , createDataSignals                                            , 58.52   
MobX                   , createComputations0to1                                       , 66.85   
MobX                   , createComputations1to1                                       , 72.89   
MobX                   , createComputations2to1                                       , 72.99   
MobX                   , createComputations4to1                                       , 68.50   
MobX                   , createComputations1000to1                                    , 53.57   
MobX                   , createComputations1to2                                       , 69.85   
MobX                   , createComputations1to4                                       , 75.35   
MobX                   , createComputations1to8                                       , 72.09   
MobX                   , createComputations1to1000                                    , 118.54  
MobX                   , updateComputations1to1                                       , 62.83   
MobX                   , updateComputations2to1                                       , 76.18   
MobX                   , updateComputations4to1                                       , 61.47   
MobX                   , updateComputations1000to1                                    , 57.22   
MobX                   , updateComputations1to2                                       , 59.04   
MobX                   , updateComputations1to4                                       , 71.32   
MobX                   , updateComputations1to1000                                    , 145.17  
MobX                   , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 1585.55 
MobX                   , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 2503.34 
MobX                   , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 1236.51 
MobX                   , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 2497.19 
MobX                   , 10x5 - 2 sources - read 20% (simple component)               , 1328.43 
MobX                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 1006.23 
MobX                   , 1000x12 - 4 sources - dynamic (large web app)                , 1322.02 
MobX                   , 1000x5 - 25 sources (wide dense)                             , 1983.14 
MobX                   , 5x500 - 3 sources (deep)                                     , 789.59  
