framework              , test                                                         , time    
s-js                   , molBench                                                     , 1015.88 
s-js                   , createDataSignals                                            , 53.73   
s-js                   , createComputations0to1                                       , 69.96   
s-js                   , createComputations1to1                                       , 66.96   
s-js                   , createComputations2to1                                       , 63.85   
s-js                   , createComputations4to1                                       , 73.49   
s-js                   , createComputations1000to1                                    , 68.18   
s-js                   , createComputations1to2                                       , 59.85   
s-js                   , createComputations1to4                                       , 68.65   
s-js                   , createComputations1to8                                       , 66.25   
s-js                   , createComputations1to1000                                    , 69.91   
s-js                   , updateComputations1to1                                       , 96.41   
s-js                   , updateComputations2to1                                       , 95.19   
s-js                   , updateComputations4to1                                       , 87.49   
s-js                   , updateComputations1000to1                                    , 76.48   
s-js                   , updateComputations1to2                                       , 96.68   
s-js                   , updateComputations1to4                                       , 85.16   
s-js                   , updateComputations1to1000                                    , 92.07   
s-js                   , 10x5 - 2 sources - read 20% (simple component)               , 830.48  
s-js                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 403.07  
s-js                   , 1000x12 - 4 sources - dynamic (large web app)                , 491.77  
s-js                   , 1000x5 - 25 sources (wide dense)                             , 951.82  
s-js                   , 5x500 - 3 sources (deep)                                     , 311.28  
@amadeus-it-group/tans , avoidablePropagation                                         , 622.72  
@amadeus-it-group/tans , broadPropagation                                             , 743.32  
@amadeus-it-group/tans , deepPropagation                                              , 261.41  
@amadeus-it-group/tans , diamond                                                      , 476.79  
@amadeus-it-group/tans , mux                                                          , 562.90  
@amadeus-it-group/tans , repeatedObservers                                            , 112.19  
@amadeus-it-group/tans , triangle                                                     , 154.05  
@amadeus-it-group/tans , unstable                                                     , 222.12  
@amadeus-it-group/tans , molBench                                                     , 668.98  
@amadeus-it-group/tans , createDataSignals                                            , 60.90   
@amadeus-it-group/tans , createComputations0to1                                       , 65.04   
@amadeus-it-group/tans , createComputations1to1                                       , 63.12   
@amadeus-it-group/tans , createComputations2to1                                       , 59.36   
@amadeus-it-group/tans , createComputations4to1                                       , 56.26   
@amadeus-it-group/tans , createComputations1000to1                                    , 54.15   
@amadeus-it-group/tans , createComputations1to2                                       , 56.61   
@amadeus-it-group/tans , createComputations1to4                                       , 58.23   
@amadeus-it-group/tans , createComputations1to8                                       , 61.24   
@amadeus-it-group/tans , createComputations1to1000                                    , 62.51   
@amadeus-it-group/tans , updateComputations1to1                                       , 56.63   
@amadeus-it-group/tans , updateComputations2to1                                       , 47.73   
@amadeus-it-group/tans , updateComputations4to1                                       , 52.04   
@amadeus-it-group/tans , updateComputations1000to1                                    , 46.72   
@amadeus-it-group/tans , updateComputations1to2                                       , 52.44   
@amadeus-it-group/tans , updateComputations1to4                                       , 51.87   
@amadeus-it-group/tans , updateComputations1to1000                                    , 57.08   
@amadeus-it-group/tans , 10x5 - 2 sources - read 20% (simple component)               , 446.25  
@amadeus-it-group/tans , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 366.21  
@amadeus-it-group/tans , 1000x12 - 4 sources - dynamic (large web app)                , 734.30  
@amadeus-it-group/tans , 1000x5 - 25 sources (wide dense)                             , 958.32  
@amadeus-it-group/tans , 5x500 - 3 sources (deep)                                     , 415.65  
@angular/signals       , avoidablePropagation                                         , 596.33  
@angular/signals       , broadPropagation                                             , 728.28  
@angular/signals       , deepPropagation                                              , 245.64  
@angular/signals       , diamond                                                      , 618.43  
@angular/signals       , mux                                                          , 632.22  
@angular/signals       , repeatedObservers                                            , 121.56  
@angular/signals       , triangle                                                     , 211.68  
@angular/signals       , unstable                                                     , 215.74  
@angular/signals       , molBench                                                     , 669.53  
@angular/signals       , createDataSignals                                            , 60.81   
@angular/signals       , createComputations0to1                                       , 51.76   
@angular/signals       , createComputations1to1                                       , 59.24   
@angular/signals       , createComputations2to1                                       , 50.11   
@angular/signals       , createComputations4to1                                       , 57.76   
@angular/signals       , createComputations1000to1                                    , 53.73   
@angular/signals       , createComputations1to2                                       , 56.11   
@angular/signals       , createComputations1to4                                       , 55.92   
@angular/signals       , createComputations1to8                                       , 60.77   
@angular/signals       , createComputations1to1000                                    , 54.29   
@angular/signals       , updateComputations1to1                                       , 48.72   
@angular/signals       , updateComputations2to1                                       , 51.95   
@angular/signals       , updateComputations4to1                                       , 51.53   
@angular/signals       , updateComputations1000to1                                    , 42.91   
@angular/signals       , updateComputations1to2                                       , 46.26   
@angular/signals       , updateComputations1to4                                       , 65.80   
@angular/signals       , updateComputations1to1000                                    , 49.80   
@angular/signals       , 10x5 - 2 sources - read 20% (simple component)               , 1211.15 
@angular/signals       , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 637.01  
@angular/signals       , 1000x12 - 4 sources - dynamic (large web app)                , 15159.04
@angular/signals       , 1000x5 - 25 sources (wide dense)                             , 11167.69
@angular/signals       , 5x500 - 3 sources (deep)                                     , 567.06  
$mol_wire              , avoidablePropagation                                         , 565.66  
$mol_wire              , broadPropagation                                             , 957.31  
$mol_wire              , deepPropagation                                              , 271.61  
$mol_wire              , diamond                                                      , 549.98  
$mol_wire              , mux                                                          , 709.54  
$mol_wire              , repeatedObservers                                            , 149.35  
$mol_wire              , triangle                                                     , 175.58  
$mol_wire              , unstable                                                     , 225.62  
$mol_wire              , molBench                                                     , 483.53  
$mol_wire              , createDataSignals                                            , 56.66   
$mol_wire              , createComputations0to1                                       , 52.43   
$mol_wire              , createComputations1to1                                       , 53.99   
$mol_wire              , createComputations2to1                                       , 51.20   
