framework              , test                                                         , time    
@reactively            , 1000x12 - 4 sources - dynamic (large web app)                , 436.43  
@reactively            , 1000x5 - 25 sources (wide dense)                             , 569.85  
@reactively            , 5x500 - 3 sources (deep)                                     , 254.55  
s-js                   , avoidablePropagation                                         , 536.82  
s-js                   , broadPropagation                                             , 309.58  
s-js                   , deepPropagation                                              , 98.63   
s-js                   , diamond                                                      , 373.53  
s-js                   , mux                                                          , 379.78  
s-js                   , repeatedObservers                                            , 125.40  
s-js                   , triangle                                                     , 110.50  
s-js                   , unstable                                                     , 144.34  
s-js                   , molBench                                                     , 909.23  
s-js                   , createDataSignals                                            , 56.47   
s-js                   , createComputations0to1                                       , 51.07   
s-js                   , createComputations1to1                                       , 66.13   
s-js                   , createComputations2to1                                       , 61.06   
s-js                   , createComputations4to1                                       , 63.67   
s-js                   , createComputations1000to1                                    , 61.00   
s-js                   , createComputations1to2                                       , 57.47   
s-js                   , createComputations1to4                                       , 61.52   
s-js                   , createComputations1to8                                       , 58.36   
s-js                   , createComputations1to1000                                    , 59.62   
s-js                   , updateComputations1to1                                       , 85.78   
s-js                   , updateComputations2to1                                       , 75.51   
s-js                   , updateComputations4to1                                       , 64.99   
s-js                   , updateComputations1000to1                                    , 70.95   
s-js                   , updateComputations1to2                                       , 75.72   
s-js                   , updateComputations1to4                                       , 84.33   
s-js                   , updateComputations1to1000                                    , 73.01   
s-js                   , 10x5 - 2 sources - read 20% (simple component)               , 817.70  
s-js                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 391.29  
s-js                   , 1000x12 - 4 sources - dynamic (large web app)                , 504.18  
s-js                   , 1000x5 - 25 sources (wide dense)                             , 935.39  
s-js                   , 5x500 - 3 sources (deep)                                     , 301.34  
@amadeus-it-group/tans , avoidablePropagation                                         , 704.55  
@amadeus-it-group/tans , broadPropagation                                             , 719.06  
@amadeus-it-group/tans , deepPropagation                                              , 241.06  
@amadeus-it-group/tans , diamond                                                      , 479.14  
@amadeus-it-group/tans , mux                                                          , 562.22  
@amadeus-it-group/tans , repeatedObservers                                            , 118.99  
@amadeus-it-group/tans , triangle                                                     , 153.42  
@amadeus-it-group/tans , unstable                                                     , 204.41  
@amadeus-it-group/tans , molBench                                                     , 598.61  
@amadeus-it-group/tans , createDataSignals                                            , 55.59   
@amadeus-it-group/tans , createComputations0to1                                       , 68.66   
@amadeus-it-group/tans , createComputations1to1                                       , 71.38   
@amadeus-it-group/tans , createComputations2to1                                       , 57.03   
@amadeus-it-group/tans , createComputations4to1                                       , 50.59   
@amadeus-it-group/tans , createComputations1000to1                                    , 48.38   
@amadeus-it-group/tans , createComputations1to2                                       , 60.22   
@amadeus-it-group/tans , createComputations1to4                                       , 57.71   
@amadeus-it-group/tans , createComputations1to8                                       , 66.39   
@amadeus-it-group/tans , createComputations1to1000                                    , 57.35   
@amadeus-it-group/tans , updateComputations1to1                                       , 50.50   
@amadeus-it-group/tans , updateComputations2to1                                       , 47.90   
@amadeus-it-group/tans , updateComputations4to1                                       , 49.67   
@amadeus-it-group/tans , updateComputations1000to1                                    , 53.45   
@amadeus-it-group/tans , updateComputations1to2                                       , 50.13   
@amadeus-it-group/tans , updateComputations1to4                                       , 48.34   
@amadeus-it-group/tans , updateComputations1to1000                                    , 45.33   
@amadeus-it-group/tans , 10x5 - 2 sources - read 20% (simple component)               , 453.45  
@amadeus-it-group/tans , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 376.46  
@amadeus-it-group/tans , 1000x12 - 4 sources - dynamic (large web app)                , 772.26  
@amadeus-it-group/tans , 1000x5 - 25 sources (wide dense)                             , 948.19  
@amadeus-it-group/tans , 5x500 - 3 sources (deep)                                     , 397.74  
@angular/signals       , avoidablePropagation                                         , 655.04  
@angular/signals       , broadPropagation                                             , 772.90  
@angular/signals       , deepPropagation                                              , 250.84  
@angular/signals       , diamond                                                      , 664.63  
@angular/signals       , mux                                                          , 638.12  
@angular/signals       , repeatedObservers                                            , 122.38  
@angular/signals       , triangle                                                     , 221.27  
@angular/signals       , unstable                                                     , 214.08  
@angular/signals       , molBench                                                     , 606.70  
@angular/signals       , createDataSignals                                            , 58.43   
@angular/signals       , createComputations0to1                                       , 53.26   
@angular/signals       , createComputations1to1                                       , 61.93   
@angular/signals       , createComputations2to1                                       , 50.17   
@angular/signals       , createComputations4to1                                       , 69.79   
@angular/signals       , createComputations1000to1                                    , 48.86   
@angular/signals       , createComputations1to2                                       , 51.75   
@angular/signals       , createComputations1to4                                       , 50.72   
@angular/signals       , createComputations1to8                                       , 58.84   
@angular/signals       , createComputations1to1000                                    , 56.64   
@angular/signals       , updateComputations1to1                                       , 48.63   
@angular/signals       , updateComputations2to1                                       , 45.08   
@angular/signals       , updateComputations4to1                                       , 43.32   
@angular/signals       , updateComputations1000to1                                    , 47.84   
@angular/signals       , updateComputations1to2                                       , 45.60   
@angular/signals       , updateComputations1to4                                       , 44.54   
@angular/signals       , updateComputations1to1000                                    , 45.77   
@angular/signals       , 10x5 - 2 sources - read 20% (simple component)               , 1303.00 
@angular/signals       , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 576.90  
@angular/signals       , 1000x12 - 4 sources - dynamic (large web app)                , 14037.90
@angular/signals       , 1000x5 - 25 sources (wide dense)                             , 10088.70
@angular/signals       , 5x500 - 3 sources (deep)                                     , 536.66  
$mol_wire              , avoidablePropagation                                         , 614.78  
$mol_wire              , broadPropagation                                             , 1032.65 
$mol_wire              , deepPropagation                                              , 264.86  
$mol_wire              , diamond                                                      , 633.81  
$mol_wire              , mux                                                          , 697.62  
$mol_wire              , repeatedObservers                                            , 159.19  
$mol_wire              , triangle                                                     , 196.10  
$mol_wire              , unstable                                                     , 244.56  
$mol_wire              , molBench                                                     , 434.10  
$mol_wire              , createDataSignals                                            , 78.21   
$mol_wire              , createComputations0to1                                       , 50.49   
$mol_wire              , createComputations1to1                                       , 74.29   
$mol_wire              , createComputations2to1                                       , 69.40   
$mol_wire              , createComputations4to1                                       , 45.92   
$mol_wire              , createComputations1000to1                                    , 48.26   
$mol_wire              , createComputations1to2                                       , 48.98   
$mol_wire              , createComputations1to4                                       , 48.83   
$mol_wire              , createComputations1to8                                       , 52.69   
$mol_wire              , createComputations1to1000                                    , 49.67   
$mol_wire              , updateComputations1to1                                       , 49.93   
$mol_wire              , updateComputations2to1                                       , 46.80   
$mol_wire              , updateComputations4to1                                       , 46.93   
$mol_wire              , updateComputations1000to1                                    , 41.08   
$mol_wire              , updateComputations1to2                                       , 45.56   
$mol_wire              , updateComputations1to4                                       , 48.56   
$mol_wire              , updateComputations1to1000                                    , 45.06   
$mol_wire              , 10x5 - 2 sources - read 20% (simple component)               , 436.07  
$mol_wire              , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 379.37  
$mol_wire              , 1000x12 - 4 sources - dynamic (large web app)                , 605.17  
$mol_wire              , 1000x5 - 25 sources (wide dense)                             , 836.66  
$mol_wire              , 5x500 - 3 sources (deep)                                     , 362.57  
Oby                    , avoidablePropagation                                         , 568.66  
Oby                    , broadPropagation                                             , 698.14  
Oby                    , deepPropagation                                              , 256.14  
Oby                    , diamond                                                      , 535.27  
Oby                    , mux                                                          , 448.04  
Oby                    , repeatedObservers                                            , 120.15  
Oby                    , triangle                                                     , 180.17  
Oby                    , unstable                                                     , 142.49  
Oby                    , molBench                                                     , 704.90  
Oby                    , createDataSignals                                            , 51.38   
Oby                    , createComputations0to1                                       , 117.67  
Oby                    , createComputations1to1                                       , 149.88  
Oby                    , createComputations2to1                                       , 118.66  
Oby                    , createComputations4to1                                       , 139.84  
Oby                    , createComputations1000to1                                    , 148.32  
Oby                    , createComputations1to2                                       , 145.25  
Oby                    , createComputations1to4                                       , 124.44  
Oby                    , createComputations1to8                                       , 86.22   
Oby                    , createComputations1to1000                                    , 80.84   
Oby                    , updateComputations1to1                                       , 51.46   
Oby                    , updateComputations2to1                                       , 47.49   
Oby                    , updateComputations4to1                                       , 43.96   
Oby                    , updateComputations1000to1                                    , 43.55   
Oby                    , updateComputations1to2                                       , 45.83   
Oby                    , updateComputations1to4                                       , 53.03   
Oby                    , updateComputations1to1000                                    , 42.07   
Oby                    , 10x5 - 2 sources - read 20% (simple component)               , 427.10  
Oby                    , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 373.76  
Oby                    , 1000x12 - 4 sources - dynamic (large web app)                , 584.57  
Oby                    , 1000x5 - 25 sources (wide dense)                             , 815.10  
Oby                    , 5x500 - 3 sources (deep)                                     , 340.55  
Signia                 , avoidablePropagation                                         , 689.31  
Signia                 , broadPropagation                                             , 623.42  
Signia                 , deepPropagation                                              , 236.97  
