framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
alien-signals          , broadPropagation                                             , 404.06   , 404.06   , 404.06   , 0.000    , baseline       , wide fan-out             ,                                                                                                 
alien-signals          , deepPropagation                                              , 168.82   , 168.82   , 168.82   , 0.000    , pull           , linear chain             ,                                                                                                 
alien-signals          , diamond                                                      , 390.23   , 390.23   , 390.23   , 0.000    , baseline       , diamond                  ,                                                                                                 
alien-signals          , mux                                                          , 383.40   , 383.40   , 383.40   , 0.000    , dynamic        , dynamic branch           ,                                                                                                 
alien-signals          , repeatedObservers                                            , 113.69   , 113.69   , 113.69   , 0.000    , baseline       , duplicate observer       ,                                                                                                 
alien-signals          , triangle                                                     , 171.76   , 171.76   , 171.76   , 0.000    , baseline       , glitch-free triangle     ,                                                                                                 
alien-signals          , unstable                                                     , 138.43   , 138.43   , 138.43   , 0.000    , dynamic        , dynamic dependency churn ,                                                                                                 
alien-signals          , manyEffectsFromOneSource                                     , 295.70   , 295.70   , 295.70   , 0.000    , push           , wide fan-out             , checksum=180075672000                                                                           
alien-signals          , manySourcesIntoOneComputedEffectWithDirect                   , 194.51   , 194.51   , 194.51   , 0.000    , pull           , wide fan-in              , checksum=1372929289844                                                                          
alien-signals          , manySourcesIntoOneComputedEffect                             , 198.62   , 198.62   , 198.62   , 0.000    , pull           , wide fan-in              , checksum=1331323690944                                                                          
alien-signals          , manySourcesIntoOneDirectEffect                               , 86.47    , 86.47    , 86.47    , 0.000    , pull           , wide fan-in              , checksum=41605598900                                                                            
alien-signals          , molBench                                                     , 402.55   , 402.55   , 402.55   , 0.000    , dynamic        , mixed app graph          ,                                                                                                 
alien-signals          , createDataSignals                                            , 3.92     , 3.92     , 3.92     , 0.000    , creation       , signal creation          ,                                                                                                 
alien-signals          , createComputations0to1                                       , 3.63     , 3.63     , 3.63     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to1                                       , 0.58     , 0.58     , 0.58     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations2to1                                       , 3.26     , 3.26     , 3.26     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations4to1                                       , 2.77     , 2.77     , 2.77     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1000to1                                    , 0.09     , 0.09     , 0.09     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to2                                       , 3.02     , 3.02     , 3.02     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to4                                       , 2.50     , 2.50     , 2.50     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to8                                       , 3.67     , 3.67     , 3.67     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to1000                                    , 2.85     , 2.85     , 2.85     , 0.000    , creation       , computed creation        ,                                                                                                 
alien-signals          , updateComputations1to1                                       , 4.41     , 4.41     , 4.41     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations2to1                                       , 2.69     , 2.69     , 2.69     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations4to1                                       , 1.86     , 1.86     , 1.86     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations1000to1                                    , 0.08     , 0.08     , 0.08     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations1to2                                       , 2.34     , 2.34     , 2.34     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations1to4                                       , 2.10     , 2.10     , 2.10     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations1to1000                                    , 0.21     , 0.21     , 0.21     , 0.000    , update         , stable update            ,                                                                                                 
alien-signals          , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 325.02   , 325.02   , 325.02   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
alien-signals          , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 466.57   , 466.57   , 466.57   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
alien-signals          , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 277.70   , 277.70   , 277.70   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
alien-signals          , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 498.09   , 498.09   , 498.09   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 82.29    , 82.29    , 82.29    , 0.000    , large_graph    , layered DAG              , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 79.90    , 79.90    , 79.90    , 0.000    , large_graph    , layered DAG              , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
alien-signals          , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 1239.13  , 1239.13  , 1239.13  , 0.000    , large_graph    , layered DAG              , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
alien-signals          , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 6.14     , 6.14     , 6.14     , 0.000    , large_graph    , diamond mesh             , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
alien-signals          , 32x8 - 4 sources - pull (pure pull)                          , 39.58    , 39.58    , 39.58    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
alien-signals          , 8x64 - 1 sources - pull (linear chain - 1 source - pull (lin , 38.73    , 38.73    , 38.73    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=504 nodesVisited=504 edgesTraversed=504 sinkReads=8                             
alien-signals          , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branc , 38.05    , 38.05    , 38.05    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=192 nodesVisited=192 edgesTraversed=1536 sinkReads=64                           
alien-signals          , 32x8 - 4 sources - push (pure push)                          , 145.06   , 145.06   , 145.06   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 238.30   , 238.30   , 238.30   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 219.64   , 219.64   , 219.64   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 367.76   , 367.76   , 367.76   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 514.19   , 514.19   , 514.19   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
alien-signals          , 5x500 - 3 sources (deep)                                     , 169.39   , 169.39   , 169.39   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
@solidjs/signals       , avoidablePropagation                                         , 1135.00  , 1135.00  , 1135.00  , 0.000    , baseline       , selective propagation    ,                                                                                                 
@solidjs/signals       , broadPropagation                                             , 2155.30  , 2155.30  , 2155.30  , 0.000    , baseline       , wide fan-out             ,                                                                                                 
