framework              , test                                                         , time    
@amadeus-it-group/tans , broadPropagation                                             , 739.53  
@amadeus-it-group/tans , deepPropagation                                              , 239.99  
@amadeus-it-group/tans , diamond                                                      , 495.69  
@amadeus-it-group/tans , mux                                                          , 593.35  
@amadeus-it-group/tans , repeatedObservers                                            , 130.37  
@amadeus-it-group/tans , triangle                                                     , 155.55  
@amadeus-it-group/tans , unstable                                                     , 209.75  
@amadeus-it-group/tans , molBench                                                     , 600.36  
@amadeus-it-group/tans , createDataSignals                                            , 53.92   
@amadeus-it-group/tans , createComputations0to1                                       , 65.38   
@amadeus-it-group/tans , createComputations1to1                                       , 58.45   
@amadeus-it-group/tans , createComputations2to1                                       , 53.61   
@amadeus-it-group/tans , createComputations4to1                                       , 67.59   
@amadeus-it-group/tans , createComputations1000to1                                    , 49.91   
@amadeus-it-group/tans , createComputations1to2                                       , 57.63   
@amadeus-it-group/tans , createComputations1to4                                       , 64.29   
@amadeus-it-group/tans , createComputations1to8                                       , 61.66   
@amadeus-it-group/tans , createComputations1to1000                                    , 56.47   
@amadeus-it-group/tans , updateComputations1to1                                       , 57.49   
@amadeus-it-group/tans , updateComputations2to1                                       , 52.38   
@amadeus-it-group/tans , updateComputations4to1                                       , 44.80   
@amadeus-it-group/tans , updateComputations1000to1                                    , 58.10   
@amadeus-it-group/tans , updateComputations1to2                                       , 46.72   
@amadeus-it-group/tans , updateComputations1to4                                       , 45.81   
@amadeus-it-group/tans , updateComputations1to1000                                    , 45.83   
@amadeus-it-group/tans , 10x5 - 2 sources - read 20% (simple component)               , 436.37  
@amadeus-it-group/tans , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 361.82  
@amadeus-it-group/tans , 1000x12 - 4 sources - dynamic (large web app)                , 679.78  
@amadeus-it-group/tans , 1000x5 - 25 sources (wide dense)                             , 907.72  
@amadeus-it-group/tans , 5x500 - 3 sources (deep)                                     , 395.33  
@angular/signals       , avoidablePropagation                                         , 644.63  
@angular/signals       , broadPropagation                                             , 733.07  
@angular/signals       , deepPropagation                                              , 238.26  
@angular/signals       , diamond                                                      , 663.06  
@angular/signals       , mux                                                          , 657.20  
@angular/signals       , repeatedObservers                                            , 120.84  
@angular/signals       , triangle                                                     , 210.66  
@angular/signals       , unstable                                                     , 212.19  
@angular/signals       , molBench                                                     , 612.88  
@angular/signals       , createDataSignals                                            , 56.89   
@angular/signals       , createComputations0to1                                       , 55.12   
@angular/signals       , createComputations1to1                                       , 62.39   
@angular/signals       , createComputations2to1                                       , 52.93   
@angular/signals       , createComputations4to1                                       , 60.57   
@angular/signals       , createComputations1000to1                                    , 50.41   
@angular/signals       , createComputations1to2                                       , 51.59   
@angular/signals       , createComputations1to4                                       , 58.46   
@angular/signals       , createComputations1to8                                       , 55.58   
@angular/signals       , createComputations1to1000                                    , 58.13   
@angular/signals       , updateComputations1to1                                       , 51.67   
@angular/signals       , updateComputations2to1                                       , 55.23   
@angular/signals       , updateComputations4to1                                       , 44.45   
@angular/signals       , updateComputations1000to1                                    , 48.25   
@angular/signals       , updateComputations1to2                                       , 50.02   
@angular/signals       , updateComputations1to4                                       , 49.23   
@angular/signals       , updateComputations1to1000                                    , 46.71   
@angular/signals       , 10x5 - 2 sources - read 20% (simple component)               , 1282.68 
@angular/signals       , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 573.64  
@angular/signals       , 1000x12 - 4 sources - dynamic (large web app)                , 13161.99
@angular/signals       , 1000x5 - 25 sources (wide dense)                             , 10607.07
@angular/signals       , 5x500 - 3 sources (deep)                                     , 516.31  
$mol_wire              , avoidablePropagation                                         , 623.82  
$mol_wire              , broadPropagation                                             , 974.12  
$mol_wire              , deepPropagation                                              , 261.70  
$mol_wire              , diamond                                                      , 606.12  
$mol_wire              , mux                                                          , 713.76  
$mol_wire              , repeatedObservers                                            , 163.27  
$mol_wire              , triangle                                                     , 187.49  
$mol_wire              , unstable                                                     , 241.82  
$mol_wire              , molBench                                                     , 446.87  
$mol_wire              , createDataSignals                                            , 52.06   
$mol_wire              , createComputations0to1                                       , 50.53   
$mol_wire              , createComputations1to1                                       , 53.97   
$mol_wire              , createComputations2to1                                       , 54.93   
$mol_wire              , createComputations4to1                                       , 48.36   
$mol_wire              , createComputations1000to1                                    , 48.21   
$mol_wire              , createComputations1to2                                       , 56.38   
$mol_wire              , createComputations1to4                                       , 52.42   
$mol_wire              , createComputations1to8                                       , 48.80   
$mol_wire              , createComputations1to1000                                    , 48.00   
$mol_wire              , updateComputations1to1                                       , 49.07   
$mol_wire              , updateComputations2to1                                       , 54.42   
$mol_wire              , updateComputations4to1                                       , 55.56   
$mol_wire              , updateComputations1000to1                                    , 42.36   
$mol_wire              , updateComputations1to2                                       , 59.18   
$mol_wire              , updateComputations1to4                                       , 58.00   
$mol_wire              , updateComputations1to1000                                    , 42.08   
$mol_wire              , 10x5 - 2 sources - read 20% (simple component)               , 463.70  
$mol_wire              , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 392.82  
$mol_wire              , 1000x12 - 4 sources - dynamic (large web app)                , 640.15  
$mol_wire              , 1000x5 - 25 sources (wide dense)                             , 911.46  
$mol_wire              , 5x500 - 3 sources (deep)                                     , 367.28  
Oby                    , avoidablePropagation                                         , 559.19  
Oby                    , broadPropagation                                             , 705.98  
Oby                    , deepPropagation                                              , 283.54  
Oby                    , diamond                                                      , 563.33  
Oby                    , mux                                                          , 454.39  
Oby                    , repeatedObservers                                            , 123.40  
Oby                    , triangle                                                     , 178.12  
Oby                    , unstable                                                     , 141.23  
Oby                    , molBench                                                     , 704.71  
Oby                    , createDataSignals                                            , 51.36   
Oby                    , createComputations0to1                                       , 120.18  
Oby                    , createComputations1to1                                       , 151.97  
Oby                    , createComputations2to1                                       , 123.47  
Oby                    , createComputations4to1                                       , 90.17   
Oby                    , createComputations1000to1                                    , 147.13  
Oby                    , createComputations1to2                                       , 137.61  
Oby                    , createComputations1to4                                       , 88.18   
Oby                    , createComputations1to8                                       , 123.28  
Oby                    , createComputations1to1000                                    , 110.85  
Oby                    , updateComputations1to1                                       , 52.05   
Oby                    , updateComputations2to1                                       , 46.52   
Oby                    , updateComputations4to1                                       , 44.52   
Oby                    , updateComputations1000to1                                    , 43.37   
Oby                    , updateComputations1to2                                       , 46.06   
Oby                    , updateComputations1to4                                       , 51.89   
Oby                    , updateComputations1to1000                                    , 43.15   
Oby                    , 10x5 - 2 sources - read 20% (simple component)               , 426.03  
Oby                    , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 377.34  
Oby                    , 1000x12 - 4 sources - dynamic (large web app)                , 598.59  
Oby                    , 1000x5 - 25 sources (wide dense)                             , 791.15  
Oby                    , 5x500 - 3 sources (deep)                                     , 335.49  
Signia                 , avoidablePropagation                                         , 667.81  
Signia                 , broadPropagation                                             , 609.36  
Signia                 , deepPropagation                                              , 235.26  
Signia                 , diamond                                                      , 574.33  
Signia                 , mux                                                          , 547.01  
Signia                 , repeatedObservers                                            , 116.48  
Signia                 , triangle                                                     , 178.94  
Signia                 , unstable                                                     , 138.66  
Signia                 , molBench                                                     , 594.14  
Signia                 , createDataSignals                                            , 76.51   
Signia                 , createComputations0to1                                       , 55.23   
Signia                 , createComputations1to1                                       , 74.67   
Signia                 , createComputations2to1                                       , 72.48   
Signia                 , createComputations4to1                                       , 48.01   
Signia                 , createComputations1000to1                                    , 48.94   
Signia                 , createComputations1to2                                       , 52.67   
Signia                 , createComputations1to4                                       , 56.59   
Signia                 , createComputations1to8                                       , 51.86   
Signia                 , createComputations1to1000                                    , 56.74   
Signia                 , updateComputations1to1                                       , 71.73   
Signia                 , updateComputations2to1                                       , 60.05   
Signia                 , updateComputations4to1                                       , 53.97   
Signia                 , updateComputations1000to1                                    , 43.15   
Signia                 , updateComputations1to2                                       , 61.82   
Signia                 , updateComputations1to4                                       , 53.51   
Signia                 , updateComputations1to1000                                    , 43.47   
Signia                 , 10x5 - 2 sources - read 20% (simple component)               , 411.71  
Signia                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 306.78  
Signia                 , 1000x12 - 4 sources - dynamic (large web app)                , 4044.11 
Signia                 , 1000x5 - 25 sources (wide dense)                             , 2518.53 
Signia                 , 5x500 - 3 sources (deep)                                     , 257.68  
SolidJS                , avoidablePropagation                                         , 749.89  
SolidJS                , broadPropagation                                             , 954.41  
SolidJS                , deepPropagation                                              , 331.76  
SolidJS                , diamond                                                      , 775.95  
SolidJS                , mux                                                          , 548.63  
SolidJS                , repeatedObservers                                            , 201.69  
SolidJS                , triangle                                                     , 258.94  
SolidJS                , unstable                                                     , 258.04  
SolidJS                , molBench                                                     , 706.15  
SolidJS                , createDataSignals                                            , 50.25   
SolidJS                , createComputations0to1                                       , 62.92   
SolidJS                , createComputations1to1                                       , 66.58   
SolidJS                , createComputations2to1                                       , 70.34   
SolidJS                , createComputations4to1                                       , 144.82  
SolidJS                , createComputations1000to1                                    , 51.87   
SolidJS                , createComputations1to2                                       , 75.39   
SolidJS                , createComputations1to4                                       , 64.84   
SolidJS                , createComputations1to8                                       , 66.98   
SolidJS                , createComputations1to1000                                    , 62.24   
SolidJS                , updateComputations1to1                                       , 118.83  
SolidJS                , updateComputations2to1                                       , 81.47   
SolidJS                , updateComputations4to1                                       , 71.82   
SolidJS                , updateComputations1000to1                                    , 85.77   
SolidJS                , updateComputations1to2                                       , 104.80  
SolidJS                , updateComputations1to4                                       , 98.02   
SolidJS                , updateComputations1to1000                                    , 94.63   
SolidJS                , 10x5 - 2 sources - read 20% (simple component)               , 2034.26 
SolidJS                , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 715.70  
SolidJS                , 1000x12 - 4 sources - dynamic (large web app)                , 1143.26 
SolidJS                , 1000x5 - 25 sources (wide dense)                             , 1396.06 
SolidJS                , 5x500 - 3 sources (deep)                                     , 578.38  
uSignal                , avoidablePropagation                                         , 1077.84 
uSignal                , broadPropagation                                             , 1004.66 
uSignal                , deepPropagation                                              , 327.23  
uSignal                , diamond                                                      , 718.11  
uSignal                , mux                                                          , 862.55  
uSignal                , repeatedObservers                                            , 120.43  
uSignal                , triangle                                                     , 224.90  
uSignal                , unstable                                                     , 123.83  
uSignal                , molBench                                                     , 808.03  
uSignal                , createDataSignals                                            , 72.96   
uSignal                , createComputations0to1                                       , 56.54   
uSignal                , createComputations1to1                                       , 76.88   
uSignal                , createComputations2to1                                       , 71.93   
uSignal                , createComputations4to1                                       , 59.40   
uSignal                , createComputations1000to1                                    , 44.76   
uSignal                , createComputations1to2                                       , 71.68   
uSignal                , createComputations1to4                                       , 65.51   
uSignal                , createComputations1to8                                       , 57.42   
uSignal                , createComputations1to1000                                    , 60.45   
uSignal                , updateComputations1to1                                       , 49.88   
uSignal                , updateComputations2to1                                       , 44.07   
uSignal                , updateComputations4to1                                       , 47.41   
uSignal                , updateComputations1000to1                                    , 43.00   
uSignal                , updateComputations1to2                                       , 43.58   
uSignal                , updateComputations1to4                                       , 47.17   
uSignal                , updateComputations1to1000                                    , 42.55   
uSignal                , 10x5 - 2 sources - read 20% (simple component)               , 538.44  
uSignal                , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 548.92  
uSignal                , 1000x12 - 4 sources - dynamic (large web app)                , 660.85  
uSignal                , 1000x5 - 25 sources (wide dense)                             , 1491.35 
uSignal                , 5x500 - 3 sources (deep)                                     , 461.83  
@vue/reactivity        , avoidablePropagation                                         , 657.99  
@vue/reactivity        , broadPropagation                                             , 518.32  
@vue/reactivity        , deepPropagation                                              , 201.02  
@vue/reactivity        , diamond                                                      , 492.77  
@vue/reactivity        , mux                                                          , 504.80  
@vue/reactivity        , repeatedObservers                                            , 77.16   
@vue/reactivity        , triangle                                                     , 147.36  
@vue/reactivity        , unstable                                                     , 108.62  
@vue/reactivity        , molBench                                                     , 1249.92 
@vue/reactivity        , createDataSignals                                            , 50.62   
@vue/reactivity        , createComputations0to1                                       , 52.18   
@vue/reactivity        , createComputations1to1                                       , 53.54   
@vue/reactivity        , createComputations2to1                                       , 51.61   
@vue/reactivity        , createComputations4to1                                       , 55.64   
@vue/reactivity        , createComputations1000to1                                    , 49.19   
@vue/reactivity        , createComputations1to2                                       , 53.40   
@vue/reactivity        , createComputations1to4                                       , 54.08   
@vue/reactivity        , createComputations1to8                                       , 52.89   
@vue/reactivity        , createComputations1to1000                                    , 56.41   
@vue/reactivity        , updateComputations1to1                                       , 49.09   
@vue/reactivity        , updateComputations2to1                                       , 47.39   
@vue/reactivity        , updateComputations4to1                                       , 47.11   
@vue/reactivity        , updateComputations1000to1                                    , 43.02   
@vue/reactivity        , updateComputations1to2                                       , 48.81   
@vue/reactivity        , updateComputations1to4                                       , 46.82   
@vue/reactivity        , updateComputations1to1000                                    , 43.93   
@vue/reactivity        , 10x5 - 2 sources - read 20% (simple component)               , 484.41  
@vue/reactivity        , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 351.12  
