framework              , test                                                         , time    
@reactively            , 1000x5 - 25 sources (wide dense)                             , 663.13  
@reactively            , 5x500 - 3 sources (deep)                                     , 304.95  
@reactively            , 100x15 - 6 sources - dynamic (very dynamic)                  , 384.73  
s-js                   , avoidablePropagation                                         , 478.59  
s-js                   , broadPropagation                                             , 319.80  
s-js                   , deepPropagation                                              , 115.80  
s-js                   , diamond                                                      , 342.20  
s-js                   , mux                                                          , 410.67  
s-js                   , repeatedObservers                                            , 143.01  
s-js                   , triangle                                                     , 107.95  
s-js                   , unstable                                                     , 158.54  
s-js                   , molBench                                                     , 1019.57 
s-js                   , createDataSignals                                            , 97.33   
s-js                   , createComputations0to1                                       , 95.26   
s-js                   , createComputations1to1                                       , 116.52  
s-js                   , createComputations2to1                                       , 115.42  
s-js                   , createComputations4to1                                       , 117.01  
s-js                   , createComputations1000to1                                    , 170.54  
s-js                   , createComputations1to2                                       , 99.01   
s-js                   , createComputations1to4                                       , 106.93  
s-js                   , createComputations1to8                                       , 104.54  
s-js                   , createComputations1to1000                                    , 105.77  
s-js                   , updateComputations1to1                                       , 133.37  
s-js                   , updateComputations2to1                                       , 128.64  
s-js                   , updateComputations4to1                                       , 121.51  
s-js                   , updateComputations1000to1                                    , 116.05  
s-js                   , updateComputations1to2                                       , 132.76  
s-js                   , updateComputations1to4                                       , 138.00  
s-js                   , updateComputations1to1000                                    , 124.19  
s-js                   , 10x5 - 2 sources - read 20% (simple component)               , 902.10  
s-js                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 455.14  
s-js                   , 1000x12 - 4 sources - dynamic (large web app)                , 535.78  
s-js                   , 1000x5 - 25 sources (wide dense)                             , 1033.26 
s-js                   , 5x500 - 3 sources (deep)                                     , 362.10  
s-js                   , 100x15 - 6 sources - dynamic (very dynamic)                  , 534.94  
@amadeus-it-group/tans , avoidablePropagation                                         , 630.46  
@amadeus-it-group/tans , broadPropagation                                             , 745.11  
@amadeus-it-group/tans , deepPropagation                                              , 270.48  
@amadeus-it-group/tans , diamond                                                      , 471.38  
@amadeus-it-group/tans , mux                                                          , 571.77  
@amadeus-it-group/tans , repeatedObservers                                            , 117.38  
@amadeus-it-group/tans , triangle                                                     , 163.45  
@amadeus-it-group/tans , unstable                                                     , 210.83  
