framework              , test                                                         , time    
@reactively            , diamond                                                      , 374.21  
@reactively            , mux                                                          , 318.77  
@reactively            , repeatedObservers                                            , 93.77   
@reactively            , triangle                                                     , 108.41  
@reactively            , unstable                                                     , 191.09  
@reactively            , molBench                                                     , 576.17  
@reactively            , createDataSignals                                            , 75.87   
@reactively            , createComputations0to1                                       , 81.15   
@reactively            , createComputations1to1                                       , 81.02   
@reactively            , createComputations2to1                                       , 95.93   
@reactively            , createComputations4to1                                       , 79.13   
@reactively            , createComputations1000to1                                    , 76.98   
@reactively            , createComputations1to2                                       , 77.96   
@reactively            , createComputations1to4                                       , 84.94   
@reactively            , createComputations1to8                                       , 82.33   
@reactively            , createComputations1to1000                                    , 81.48   
@reactively            , updateComputations1to1                                       , 81.91   
@reactively            , updateComputations2to1                                       , 75.63   
@reactively            , updateComputations4to1                                       , 78.67   
@reactively            , updateComputations1000to1                                    , 73.10   
@reactively            , updateComputations1to2                                       , 76.81   
@reactively            , updateComputations1to4                                       , 76.24   
@reactively            , updateComputations1to1000                                    , 76.38   
@reactively            , 200x6 - 2 sources (diamond shared deps)                      , 124.96  
@reactively            , 5000x2 - 1 sources (broad fan-out)                           , 461.76  
@reactively            , 1x2 - 5000 sources (many sources one sink)                   , 313.77  
@reactively            , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 4001.62 
@reactively            , 300x10 - 4 sources (stable after recompute)                  , 560.98  
@reactively            , 500x8 - 4 sources (hot reads stable graph)                   , 3822.66 
@reactively            , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 104.01  
@reactively            , 1x3 - 2 sources (many observers)                             , 75.98   
@reactively            , 5x300 - 3 sources - dynamic (deep dynamic)                   , 368.97  
@reactively            , 10000x2 - 2 sources (ultra wide shallow)                     , 386.93  
@reactively            , 10x5 - 2 sources - read 20% (simple component)               , 298.51  
@reactively            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 291.27  
@reactively            , 1000x12 - 4 sources - dynamic (large web app)                , 501.72  
@reactively            , 1000x5 - 25 sources (wide dense)                             , 599.98  
@reactively            , 5x500 - 3 sources (deep)                                     , 279.93  
s-js                   , avoidablePropagation                                         , 535.77  
s-js                   , broadPropagation                                             , 298.82  
s-js                   , deepPropagation                                              , 98.16   
s-js                   , diamond                                                      , 372.37  
s-js                   , mux                                                          , 382.04  
s-js                   , repeatedObservers                                            , 125.28  
s-js                   , triangle                                                     , 110.60  
s-js                   , unstable                                                     , 145.34  
s-js                   , molBench                                                     , 906.34  
s-js                   , createDataSignals                                            , 80.00   
s-js                   , createComputations0to1                                       , 82.73   
s-js                   , createComputations1to1                                       , 93.51   
s-js                   , createComputations2to1                                       , 95.56   
s-js                   , createComputations4to1                                       , 89.72   
s-js                   , createComputations1000to1                                    , 87.40   
s-js                   , createComputations1to2                                       , 86.14   
s-js                   , createComputations1to4                                       , 87.88   
s-js                   , createComputations1to8                                       , 82.35   
s-js                   , createComputations1to1000                                    , 84.26   
s-js                   , updateComputations1to1                                       , 110.19  
s-js                   , updateComputations2to1                                       , 104.17  
s-js                   , updateComputations4to1                                       , 100.63  
s-js                   , updateComputations1000to1                                    , 98.33   
s-js                   , updateComputations1to2                                       , 109.67  
s-js                   , updateComputations1to4                                       , 111.17  
s-js                   , updateComputations1to1000                                    , 104.75  
s-js                   , 200x6 - 2 sources (diamond shared deps)                      , 123.32  
s-js                   , 5000x2 - 1 sources (broad fan-out)                           , 286.92  
s-js                   , 1x2 - 5000 sources (many sources one sink)                   , 532.09  
s-js                   , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 6216.15 
s-js                   , 300x10 - 4 sources (stable after recompute)                  , 724.91  
s-js                   , 500x8 - 4 sources (hot reads stable graph)                   , 4281.05 
s-js                   , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 147.97  
s-js                   , 1x3 - 2 sources (many observers)                             , 96.97   
s-js                   , 5x300 - 3 sources - dynamic (deep dynamic)                   , 401.14  
s-js                   , 10000x2 - 2 sources (ultra wide shallow)                     , 475.28  
s-js                   , 10x5 - 2 sources - read 20% (simple component)               , 852.33  
s-js                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 406.63  
s-js                   , 1000x12 - 4 sources - dynamic (large web app)                , 624.35  
s-js                   , 1000x5 - 25 sources (wide dense)                             , 960.58  
s-js                   , 5x500 - 3 sources (deep)                                     , 323.77  
@amadeus-it-group/tans , avoidablePropagation                                         , 662.59  
@amadeus-it-group/tans , broadPropagation                                             , 690.33  
@amadeus-it-group/tans , deepPropagation                                              , 243.48  
@amadeus-it-group/tans , diamond                                                      , 477.84  
@amadeus-it-group/tans , mux                                                          , 575.97  
@amadeus-it-group/tans , repeatedObservers                                            , 122.01  
@amadeus-it-group/tans , triangle                                                     , 158.92  
@amadeus-it-group/tans , unstable                                                     , 209.61  
@amadeus-it-group/tans , molBench                                                     , 601.36  
@amadeus-it-group/tans , createDataSignals                                            , 101.68  
@amadeus-it-group/tans , createComputations0to1                                       , 92.46   
@amadeus-it-group/tans , createComputations1to1                                       , 107.46  
@amadeus-it-group/tans , createComputations2to1                                       , 105.03  
@amadeus-it-group/tans , createComputations4to1                                       , 92.26   
@amadeus-it-group/tans , createComputations1000to1                                    , 83.82   
@amadeus-it-group/tans , createComputations1to2                                       , 87.92   
@amadeus-it-group/tans , createComputations1to4                                       , 84.74   
@amadeus-it-group/tans , createComputations1to8                                       , 90.55   
@amadeus-it-group/tans , createComputations1to1000                                    , 84.79   
@amadeus-it-group/tans , updateComputations1to1                                       , 80.09   
@amadeus-it-group/tans , updateComputations2to1                                       , 80.83   
@amadeus-it-group/tans , updateComputations4to1                                       , 79.48   
@amadeus-it-group/tans , updateComputations1000to1                                    , 72.80   
@amadeus-it-group/tans , updateComputations1to2                                       , 75.65   
@amadeus-it-group/tans , updateComputations1to4                                       , 80.81   
@amadeus-it-group/tans , updateComputations1to1000                                    , 73.50   
