framework              , test                                                         , time    
s-js                   , 1000x5 - 25 sources (wide dense)                             , 929.61  
s-js                   , 5x500 - 3 sources (deep)                                     , 296.00  
@amadeus-it-group/tans , avoidablePropagation                                         , 640.13  
@amadeus-it-group/tans , broadPropagation                                             , 701.30  
@amadeus-it-group/tans , deepPropagation                                              , 248.67  
@amadeus-it-group/tans , diamond                                                      , 503.52  
@amadeus-it-group/tans , mux                                                          , 564.55  
@amadeus-it-group/tans , repeatedObservers                                            , 102.99  
@amadeus-it-group/tans , triangle                                                     , 155.41  
@amadeus-it-group/tans , unstable                                                     , 198.98  
@amadeus-it-group/tans , molBench                                                     , 597.72  
@amadeus-it-group/tans , createDataSignals                                            , 88.00   
@amadeus-it-group/tans , createComputations0to1                                       , 84.71   
@amadeus-it-group/tans , createComputations1to1                                       , 79.72   
@amadeus-it-group/tans , createComputations2to1                                       , 95.06   
@amadeus-it-group/tans , createComputations4to1                                       , 71.08   
@amadeus-it-group/tans , createComputations1000to1                                    , 63.64   
@amadeus-it-group/tans , createComputations1to2                                       , 66.43   
@amadeus-it-group/tans , createComputations1to4                                       , 66.57   
@amadeus-it-group/tans , createComputations1to8                                       , 70.33   
@amadeus-it-group/tans , createComputations1to1000                                    , 56.57   
@amadeus-it-group/tans , updateComputations1to1                                       , 69.59   
@amadeus-it-group/tans , updateComputations2to1                                       , 58.87   
@amadeus-it-group/tans , updateComputations4to1                                       , 63.08   
@amadeus-it-group/tans , updateComputations1000to1                                    , 65.27   
@amadeus-it-group/tans , updateComputations1to2                                       , 56.53   
@amadeus-it-group/tans , updateComputations1to4                                       , 57.39   
@amadeus-it-group/tans , updateComputations1to1000                                    , 54.33   
@amadeus-it-group/tans , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 700.14  
@amadeus-it-group/tans , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 1035.97 
@amadeus-it-group/tans , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 572.84  
@amadeus-it-group/tans , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1070.32 
@amadeus-it-group/tans , 10x5 - 2 sources - read 20% (simple component)               , 581.44  
@amadeus-it-group/tans , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 375.25  
@amadeus-it-group/tans , 1000x12 - 4 sources - dynamic (large web app)                , 763.41  
@amadeus-it-group/tans , 1000x5 - 25 sources (wide dense)                             , 942.11  
@amadeus-it-group/tans , 5x500 - 3 sources (deep)                                     , 448.31  
$mol_wire              , avoidablePropagation                                         , 715.09  
$mol_wire              , broadPropagation                                             , 1351.21 
$mol_wire              , deepPropagation                                              , 381.82  
$mol_wire              , diamond                                                      , 778.88  
$mol_wire              , mux                                                          , 769.29  
$mol_wire              , repeatedObservers                                            , 161.85  
$mol_wire              , triangle                                                     , 253.29  
$mol_wire              , unstable                                                     , 340.01  
$mol_wire              , molBench                                                     , 455.27  
$mol_wire              , createDataSignals                                            , 92.23   
$mol_wire              , createComputations0to1                                       , 61.80   
$mol_wire              , createComputations1to1                                       , 75.80   
$mol_wire              , createComputations2to1                                       , 75.44   
$mol_wire              , createComputations4to1                                       , 60.61   
$mol_wire              , createComputations1000to1                                    , 68.45   
$mol_wire              , createComputations1to2                                       , 66.59   
$mol_wire              , createComputations1to4                                       , 60.22   
$mol_wire              , createComputations1to8                                       , 69.57   
$mol_wire              , createComputations1to1000                                    , 80.93   
$mol_wire              , updateComputations1to1                                       , 59.31   
$mol_wire              , updateComputations2to1                                       , 53.03   
$mol_wire              , updateComputations4to1                                       , 54.98   
$mol_wire              , updateComputations1000to1                                    , 46.20   
$mol_wire              , updateComputations1to2                                       , 53.96   
$mol_wire              , updateComputations1to4                                       , 66.15   
$mol_wire              , updateComputations1to1000                                    , 57.61   
$mol_wire              , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 836.20  
$mol_wire              , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 1231.62 
$mol_wire              , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 694.08  
$mol_wire              , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1293.08 
$mol_wire              , 10x5 - 2 sources - read 20% (simple component)               , 864.71  
$mol_wire              , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 506.17  
$mol_wire              , 1000x12 - 4 sources - dynamic (large web app)                , 901.45  
$mol_wire              , 1000x5 - 25 sources (wide dense)                             , 914.81  
$mol_wire              , 5x500 - 3 sources (deep)                                     , 466.30  
Oby                    , avoidablePropagation                                         , 555.02  
Oby                    , broadPropagation                                             , 710.11  
Oby                    , deepPropagation                                              , 287.19  
Oby                    , diamond                                                      , 532.14  
Oby                    , mux                                                          , 424.54  
Oby                    , repeatedObservers                                            , 84.94   
Oby                    , triangle                                                     , 183.04  
Oby                    , unstable                                                     , 96.74   
Oby                    , molBench                                                     , 696.80  
