framework              , test                                                         , time    
s-js                   , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 628.11  
s-js                   , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 815.23  
s-js                   , 32x8 - 4 sources - pull (pure pull)                          , 223.35  
s-js                   , 32x8 - 4 sources - push (pure push)                          , 300.18  
s-js                   , 10x5 - 2 sources - read 20% (simple component)               , 882.30  
s-js                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 352.99  
s-js                   , 1000x12 - 4 sources - dynamic (large web app)                , 388.53  
s-js                   , 1000x5 - 25 sources (wide dense)                             , 766.78  
s-js                   , 5x500 - 3 sources (deep)                                     , 331.37  
@amadeus-it-group/tans , avoidablePropagation                                         , 548.43  
@amadeus-it-group/tans , broadPropagation                                             , 735.37  
@amadeus-it-group/tans , deepPropagation                                              , 241.58  
@amadeus-it-group/tans , diamond                                                      , 515.81  
@amadeus-it-group/tans , mux                                                          , 515.13  
@amadeus-it-group/tans , repeatedObservers                                            , 100.07  
@amadeus-it-group/tans , triangle                                                     , 171.96  
@amadeus-it-group/tans , unstable                                                     , 228.30  
@amadeus-it-group/tans , molBench                                                     , 536.25  
@amadeus-it-group/tans , createDataSignals                                            , 103.18  
@amadeus-it-group/tans , createComputations0to1                                       , 75.60   
@amadeus-it-group/tans , createComputations1to1                                       , 97.25   
@amadeus-it-group/tans , createComputations2to1                                       , 80.83   
@amadeus-it-group/tans , createComputations4to1                                       , 133.08  
@amadeus-it-group/tans , createComputations1000to1                                    , 65.26   
@amadeus-it-group/tans , createComputations1to2                                       , 64.52   
@amadeus-it-group/tans , createComputations1to4                                       , 62.13   
@amadeus-it-group/tans , createComputations1to8                                       , 94.12   
@amadeus-it-group/tans , createComputations1to1000                                    , 62.54   
@amadeus-it-group/tans , updateComputations1to1                                       , 59.68   
@amadeus-it-group/tans , updateComputations2to1                                       , 69.50   
@amadeus-it-group/tans , updateComputations4to1                                       , 60.17   
@amadeus-it-group/tans , updateComputations1000to1                                    , 61.54   
@amadeus-it-group/tans , updateComputations1to2                                       , 64.60   
@amadeus-it-group/tans , updateComputations1to4                                       , 53.69   
@amadeus-it-group/tans , updateComputations1to1000                                    , 126.55  
@amadeus-it-group/tans , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 708.66  
@amadeus-it-group/tans , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 1102.29 
@amadeus-it-group/tans , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 586.65  
@amadeus-it-group/tans , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1068.87 
