framework              , test                                                         , time    
TC39 Signals Polyfill  , updateComputations4to1                                       , 75.56   
TC39 Signals Polyfill  , updateComputations1000to1                                    , 75.02   
TC39 Signals Polyfill  , updateComputations1to2                                       , 82.76   
TC39 Signals Polyfill  , updateComputations1to4                                       , 80.35   
TC39 Signals Polyfill  , updateComputations1to1000                                    , 75.87   
TC39 Signals Polyfill  , 200x6 - 2 sources (diamond shared deps)                      , 1361.44 
TC39 Signals Polyfill  , 5000x2 - 1 sources (broad fan-out)                           , 3836.91 
TC39 Signals Polyfill  , 1x2 - 5000 sources (many sources one sink)                   , 993.45  
TC39 Signals Polyfill  , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 15831.78
TC39 Signals Polyfill  , 300x10 - 4 sources (stable after recompute)                  , 11971.68
TC39 Signals Polyfill  , 500x8 - 4 sources (hot reads stable graph)                   , 145303.2
TC39 Signals Polyfill  , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 1302.87 
TC39 Signals Polyfill  , 1x3 - 2 sources (many observers)                             , 80.41   
TC39 Signals Polyfill  , 5x300 - 3 sources - dynamic (deep dynamic)                   , 762.77  
TC39 Signals Polyfill  , 10000x2 - 2 sources (ultra wide shallow)                     , 4306.94 
TC39 Signals Polyfill  , 10x5 - 2 sources - read 20% (simple component)               , 1771.25 
TC39 Signals Polyfill  , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 831.08  
TC39 Signals Polyfill  , 1000x12 - 4 sources - dynamic (large web app)                , 15320.52
TC39 Signals Polyfill  , 1000x5 - 25 sources (wide dense)                             , 10122.00
TC39 Signals Polyfill  , 5x500 - 3 sources (deep)                                     , 658.99  
@reactively            , avoidablePropagation                                         , 481.24  
@reactively            , broadPropagation                                             , 385.19  
@reactively            , deepPropagation                                              , 152.68  
@reactively            , diamond                                                      , 382.81  
@reactively            , mux                                                          , 322.05  
@reactively            , repeatedObservers                                            , 93.90   
@reactively            , triangle                                                     , 110.58  
@reactively            , unstable                                                     , 194.82  
@reactively            , molBench                                                     , 575.68  
@reactively            , createDataSignals                                            , 78.58   
